gene_name	phosphoscore	n_sign_phos	phos	act_rol	phosphosite_fc	UNIPROT	mf
MAP4	-2.76564818736752	3	S928;S941;S1073	-1;-1;-1	2.86;4.77;0.66	P27816	other
MAPK14	1.6382076565523778	2	T180;Y182	1;1	2.07;1.21	Q16539	kin
MAPT	-0.7919417204047619	6	S515;S519;T548;S552;S713;S721	-1;-1;-1;-1;-1;-1	0.93;0.34;-1.41;-1.41;0.45;5.84	P10636;P10636	other
MARCKS	0.397531672225238	1	S118	1	0.4	P29966	other
MAX	-0.39321996801690134	1	S2	-1	0.39	P61244;P61244	tf
MCM2	0.41016808486774725	2	S13;S41	1;1	0.5;0.32	P49736	other
MDC1	-3.4830966602722415	3	S299;T301;T378	1;1;1	-2.5;-2.5;-5.45	Q14676	other
MECP2	1.262748494312757	1	S80	1	1.26	P51608	tf
NADK	0.01493587704328781	1	S46	1	0.01	O95544	kin
NCOA3	1.0217873055099806	1	S1033	1	1.02	Q9Y6Q9	tf
NDRG2	2.538190589140303	2	T330;S332	1;1	1.43;3.65	Q9UN36	other
NFATC3	-0.3510624146197408	1	S165	-1	0.35	Q12968	tf
NFKB1	0.48633366666964656	2	S903;S907	1;1	0.49;0.49	P19838	tf
NHERF1	-0.23408595349466288	1	S290	-1	0.23	O14745	other
NIFK	0.41843934186295406	2	T234;T238	1;1	0.42;0.42	Q9BYG3	other
NOLC1	0.7123835845097339	1	S623	1	0.71	Q14978	other
NUP50	-2.5359816411385503	1	S221	-1	2.54	Q9UKX7	other
NUP98	-3.127265186995027	1	S623	-1	3.13	P52948	tf
PARN	-0.4511506849348452	1	S557	-1	0.45	O95453	other
PDCD4	-0.4358491436873436	2	S76;S457	-1;-1	0.26;0.61	Q53EL6	other
PFKFB2	1.26026672488047	1	S483	1	1.26	O60825	kin
PI4KB	-2.3767822579077196	1	S277	1	-2.38	Q9UBF8;Q9UBF8	kin
PIK3C2A	0.07436700914318804	1	S259	-1	-0.07	O00443	kin
PKN1	-1.8676083425541514	2	S533;S537	1;1	-1.89;-1.85	Q16512	kin
PLCB3	0.48943412009036386	1	S537	1	0.49	Q01970	other
POLR2A	2.0190603913785834	5	S1861;S1878;S1889;S1896;S1917	1;1;1;1;1	4.38;2.26;1.9;1.02;0.55	P24928	other
PPP1R12A	-2.224292206881772	2	S472;S910	-1;-1	2.1;2.35	O14974	other
PRKAA1	-3.480937755456367	1	S496	-1	3.48	Q13131	kin
PRKAB1	1.1126567028922707	1	S108	1	1.11	Q9Y478	kin
PRKACA	-1.6513644082275118	1	S339	1	-1.65	P17612	kin
PRKAR1A	0.18357602192700903	1	S77	-1	-0.18	P10644	other
PRKCA	-3.369890842882524	1	T638	1	-3.37	P17252	kin
PRKCD	2.3043694511222172	2	S304;T507	1;1	0.58;4.03	Q05655	kin
PRKDC	1.1943737457064123	4	T2609;T2638;T2647;S3205	1;1;1;1	0.52;1.54;1.14;1.58	P78527	kin
PTPN12	2.959997120050313	1	S435	-1	-2.96	Q05209	phos
RABEP1	-1.1222260562570163	1	S407	-1	1.12	Q15276	other
RAD9A	1.419878444018683	2	S328;T355	1;1	1.67;1.17	Q99638	other
RANGAP1	-1.3385152358094412	2	S428;S442	1;1	-1.34;-1.34	P46060	other
RB1	-1.4763856448575632	1	S612	1	-1.48	P06400	tf
RBBP8	0.00185711619300595	1	T315	-1	0	Q99708	tf
RBL2	-1.8167808693273055	4	T417;S639;T642;S952	1;1;1;1	0.72;-3.99;-4.43;0.44	Q08999	other
RBM17	0.7244604926147975	1	S222	1	0.72	Q96I25	other
REPS1	-0.4055227359017291	1	S709	-1	0.41	Q96D71	other
REST	-0.729096965484882	2	S861;S864	-1;-1	0.73;0.73	Q13127	tf
RPS6	-2.188601214255223	3	S235;S240;S242	1;1;1	-1.69;-2.5;-2.38	P62753	other
RPS6KA1	0.34827685642213685	1	T359	1	0.35	Q15418	kin
RPTOR	0.2657726599966134	1	S859	1	0.27	Q8N122	other
RRM2	0.27600128450958406	1	S20	1	0.28	P31350	other
RUNX1	-1.806590583513802	1	S21	1	-1.81	Q01196;Q01196	tf
SF1	0.13238143513764797	1	S205	1	0.13	Q15637	tf
SLC12A2	-1.9150436068408156	1	S77	-1	1.92	P55011	other
SLC9A1	0.9480231515445056	1	S785	1	0.95	P19634	other
SMC1A	2.347272871663088	1	S966	1	2.35	Q14683	other
SMC3	1.2036969371851205	1	S1067	1	1.2	Q9UQE7	other
SNX27	3.231106686921813	1	S51	1	3.23	Q96L92	other
SQSTM1	1.0809212639943744	1	S366	1	1.08	Q13501	kin
SRC	0.5533136339922262	1	S17	1	0.55	P12931	kin
SRSF1	1.1977529331403385	1	S238	1	1.2	Q07955	other
STARD10	-0.8330919344616445	1	S284	-1	0.83	Q9Y365	other
STIM1	-2.500778104391463	1	S257	-1	2.5	Q13586	other
STK39	-3.2683944578684265	1	S371	1	-3.27	Q9UEW8	kin
STMN1	3.184601948349643	1	S63	-1	-3.18	P16949	other
SUPT5H	0.3034621218090519	1	T799	1	0.3	O00267	other
TAGLN2	-2.202288907840998	1	S163	-1	2.2	P37802	other
TOP1	-4.360918298561715	1	S10	-1	4.36	P11387	kin
TOP2A	0.9696507322705924	1	S1354	1	0.97	P11388	other
TP53BP1	3.4775236067522752	1	S831	1	3.48	Q12888	tf
TPD52	0.24799242393651288	1	S40	1	0.25	P55327	other
TRAF2	0.6893425344843924	1	S11	1	0.69	Q12933	other
TSC2	4.247169491854431	1	S1387	1	4.25	P49815	other
ULK1	-0.43733529708235847	1	S469	-1	0.44	O75385	kin
USP16	2.4611268585686035	1	S415	-1	-2.46	Q9Y5T5	tf
VAMP4	0.4051740890633785	1	S30	1	0.41	O75379	other
VCPIP1	-0.4853802398487389	1	T761	-1	0.49	Q96JH7	other
