UNIPROT	gene_name	phosphoscore_corr_phospho_act	mf.x	phosphoscore_corr_phospho_all	mf.y	phosphoscore_no_corr_phospho_act	mf.x.x	phosphoscore_no_corr_phospho_all	mf.y.y
P17544	ATF7	NA	NA	0.8566506645023422	tf	NA	NA	1.43946329752604	tf
O60716	CTNND1	NA	NA	1.6525219297999871	other	NA	NA	2.21709696451823	other
P26358;P26358	DNMT1	NA	NA	-0.0440948434402694	other	NA	NA	-0.61163012186686	other
P13807	GYS1	NA	NA	-2.0664369300763776	other	NA	NA	-2.63378651936849	other
P08238	HSP90AB1	NA	NA	0.3007382572772094	other	NA	NA	0.90234247843425	other
P27361;P27361	MAPK3	NA	NA	0.7668018435797004	kin	NA	NA	1.33700370788574	kin
O15530	PDPK1	NA	NA	0.5462540303919072	kin	NA	NA	1.14076614379883	kin
P31323	PRKAR2B	NA	NA	-2.924583603470141	other	NA	NA	-3.53646278381348	other
Q92504	SLC39A7	NA	NA	3.828225242993664	other	NA	NA	4.43082904815674	other
Q13263	TRIM28	NA	NA	0.6081836797912257	tf	NA	NA	1.1972541809082	tf
P13051	UNG	NA	NA	-2.510627927953609	other	NA	NA	-1.93889999389648	other
O43379	WDR62	NA	NA	2.602807650731155	other	NA	NA	3.20332590738932	other
O15169	AXIN1	NA	NA	NA	NA	-1.34215863545736	other	NA	NA
Q9HA82	CERS4	NA	NA	NA	NA	3.02816200256348	other	3.02816200256348	other
P41162	ETV3	NA	NA	NA	NA	-2.13661575317383	tf	NA	NA
Q9Y4H2	IRS2	NA	NA	NA	NA	-0.948266347249348	other	-0.948266347249348	other
Q8WYK2	JDP2	NA	NA	NA	NA	1.14825057983398	tf	NA	NA
O95835	LATS1	NA	NA	NA	NA	-0.86517651875814	kin	NA	NA
Q9UPT6	MAPK8IP3	NA	NA	NA	NA	2.25579198201497	other	NA	NA
P23508;SIGNOR-C382	MCC	NA	NA	NA	NA	2.835866928100585	other	2.835866928100585	other
P50219	MNX1	NA	NA	NA	NA	-0.785426457722984	tf	NA	NA
Q969V6	MRTFA	NA	NA	NA	NA	-0.994447072347004	tf	NA	NA
Q9BSJ6	PIMREG	NA	NA	NA	NA	0.937429428100586	other	NA	NA
P18433;P18433	PTPRA	NA	NA	NA	NA	3.51985041300455	phos	3.51985041300455	phos
P23443;P23443	RPS6KB1	NA	NA	NA	NA	-1.4171464708116333	kin	-3.26188659667969	kin
Q9UMX1	SUFU	NA	NA	NA	NA	-3.13606484731039	tf	NA	NA
P30291	WEE1	NA	NA	NA	NA	-1.89186795552572	kin	NA	NA
P46937;P46937-2;P46937	YAP1	NA	NA	NA	NA	-2.75146675109863	tf	-2.75146675109863	tf
P26651	ZFP36	NA	NA	NA	NA	-1.85065015157064	other	NA	NA
Q9UQC2	GAB2	NA	NA	NA	NA	NA	NA	-1.90097681681315	other
Q07352	ZFP36L1	NA	NA	NA	NA	NA	NA	1.25293668111165	other
