gene_name	significant	logpval	difference	tstat
1010001B22Rik	+	2.5101	2.11647	4.26405
Klk1b22	+	1.76807	2.10982	3.01107
Olfr1250	+	1.4025	2.10604	2.44439
Adra2a	+	2.18633	2.10423	3.69445
ENSMUSG00000024799	+	1.3765	2.10129	2.40436
C1s1	NA	0.94613	2.10031	1.75758
Tap2	+	1.20757	2.09948	2.14974
Cpt1a	+	3.80589	2.09409	6.85347
Csf1r	+	1.52061	2.08473	2.62132
Gm28874	+	1.8631	2.08208	3.15644
Hif3a	+	1.76458	2.07619	2.99862
Rin3	+	3.53712	2.07574	6.25341
Btbd19	+	2.88901	2.07443	4.94629
Gm10353	+	1.36364	2.067	2.38041
4932416K20Rik	+	2.26449	2.06617	3.81499
F630028O10Rik	+	1.23825	2.06317	2.19174
Slc43a1	+	2.62659	2.05814	4.44923
Nr1d2	+	3.00427	2.0542	5.15585
Tst	+	1.15737	2.0542	2.06998
Tgfb1i1	+	2.05985	2.03775	3.46378
Gm6484	+	4.31003	2.03258	7.90938
Gm4598	+	1.96277	2.02687	3.30291
Pnpla7	+	3.05436	2.02624	5.23483
Gm26808	+	1.41659	2.02102	2.45371
Acad12	+	1.93072	2.02049	3.24973
Col11a2	+	4.02103	2.01988	7.24216
Gda	+	4.82606	2.0159	9.07347
Npff	+	1.90145	2.01278	3.20099
Gm26870	+	1.94419	2.01178	3.26904
Tbx6	+	2.01247	2.0107	3.3788
4930404N11Rik	+	1.59056	2.00143	2.71407
Ighm	+	1.19553	2.00061	2.12103
Tapbpl	+	2.36008	1.99812	3.95353
Bcl2l14	+	2.56448	1.9951	4.30836
Ppp2r3d	+	1.48488	1.99016	2.55177
Nlrp6	+	1.59355	1.98483	2.71554
Hal	+	2.12192	1.98264	3.54883
Jup	+	1.9651	1.97568	3.29275
Tmem130	+	2.41369	1.97304	4.03537
Tcn2	+	3.35295	1.96717	5.77824
Adck3	+	2.57135	1.95914	4.30345
Vipr2	+	1.91303	1.95576	3.20451
Ifngr1	+	4.06411	1.95487	7.25004
Nkpd1	+	3.26819	1.94495	5.59164
Pyroxd2	+	2.73169	1.93233	4.5747
Mrgpre	+	2.67233	1.92863	4.46658
Ufsp1	+	3.8483	1.9238	6.74927
Gm11696	+	2.97762	1.92344	5.01954
Gnb4	+	2.14979	1.92268	3.57446
Gm13842	+	2.19394	1.91678	3.64455
Zmym6	+	1.95291	1.91651	3.25662
Gm15816	+	3.11622	1.91468	5.27422
Gssos2	+	3.11622	1.91468	5.27422
Gm16287	+	2.36926	1.91429	3.93503
Wdr66	+	2.05428	1.90994	3.41589
Ecm1	+	1.84077	1.90783	3.0786
Apol10b	+	1.18643	1.90632	2.09661
Zdhhc19	+	1.84138	1.90046	3.07762
Ern2	+	2.27039	1.90032	3.76425
Ccl9	+	2.50131	1.89947	4.15302
Prmt2	+	3.86761	1.89225	6.75009
Ptprj	+	1.80553	1.8899	3.01945
Calcoco1	+	2.52431	1.8845	4.18523
Far2	+	3.66572	1.87934	6.32068
Pink1	+	3.41217	1.87835	5.81467
Gm11998	+	1.60388	1.87786	2.71004
Gm12689	+	1.1656	1.85716	2.0601
Cfap126	+	1.62256	1.85255	2.73268
Zfp385a	+	2.85815	1.85233	4.75327
Ptprn	+	3.17051	1.84824	5.32408
Gm16638	+	1.69564	1.847	2.84135
Plekha6	+	2.3686	1.84674	3.90457
Gpr183	+	2.02372	1.84594	3.3466
Nat14	+	2.62409	1.84577	4.33692
Add2	+	2.2254	1.84346	3.66812
Osbpl1a	+	3.85561	1.83526	6.65178
Plekhh2	+	1.51683	1.83296	2.57123
Zfp811	+	2.5723	1.83172	4.24029
Igsf6	+	1.97148	1.82831	3.25905
Gm27010	+	1.4834	1.82408	2.52016
Grap2	+	2.959	1.81473	4.90865
B230398E01Rik	+	1.93808	1.8143	3.20277
Nrn1l	+	1.55315	1.81233	2.62077
Trim2	+	1.09075	1.81042	1.94547
Arhgap27os2	+	1.5406	1.801	2.59987
Tmod4	+	1.4321	1.79948	2.44024
Prkca	+	3.47453	1.79855	5.85526
Cd247	+	2.28666	1.79818	3.74872
Dhrs3	+	3.14599	1.78172	5.22244
A730011C13Rik	+	2.28741	1.77556	3.73999
Oas2	+	1.48056	1.7729	2.50599
Sfn	+	1.99131	1.77265	3.2715
Wnt10b	+	2.41111	1.76124	3.9342800000000002
Hgfac	+	2.29193	1.76008	3.74034
Ypel1	NA	0.825487	1.75791	1.55191
Trip6	+	2.15203	1.75483	3.51555
Vwce	+	1.38778	1.75343	2.36732
2600006K01Rik	+	1.69806	1.75214	2.82147
AC161165.6	+	2.13284	1.75042	3.48363
Gldc	NA	1.041	1.74711	1.86607
Stom	+	2.19721	1.74314	3.58197
Platr1	+	1.77875	1.74181	2.9389
Ass1	+	1.62139	1.7407	2.70531
Rab43	+	1.60202	1.73793	2.6762
Asic3	+	1.86994	1.73775	3.07471
Kank2	+	3.36661	1.73267	5.5826
Gp9	+	2.39526	1.73116	3.89335
Cage1	+	2.22468	1.72641	3.61817
Tef	+	3.77358	1.7256	6.34348
Irx5	+	1.63781	1.72298	2.72508
Gapt	+	2.76107	1.72244	4.49641
Nlrc4	+	1.21877	1.72205	2.11863
BC022687	+	1.50388	1.72152	2.52928
Exoc3l4	NA	1.0598	1.72084	1.89011
D930048N14Rik	+	1.29735	1.71967	2.23101
Gm21885	+	1.19214	1.71649	2.0796
Gm10800	+	2.72632	1.71157	4.43008
Cxcr4	+	1.81676	1.70965	2.98619
Gm9958	+	2.06205	1.70936	3.35763
Atg2a	+	4.07218	1.70556	6.89294
Mxd4	+	4.29997	1.69985	7.32975
Ephb2	+	2.635	1.69853	4.26849
Gm17690	+	1.85301	1.69742	3.03651
Qprt	+	2.42629	1.69616	3.9253
Pnpla6	+	2.53948	1.69273	4.10733
2810001G20Rik	+	3.87056	1.69148	6.48153
Ypel3	+	3.02009	1.69136	4.92006
Ssc5d	+	2.51897	1.69105	4.07282
4430402I18Rik	+	2.51897	1.69105	4.07282
Dclre1b	+	1.66772	1.68618	2.75937
Adgrg3	+	2.56488	1.68508	4.14439
Gm15445	NA	0.879036	1.68395	1.62444
Gm14168	+	2.7097	1.68381	4.38343
Gm20635	+	2.20301	1.68231	3.56459
AC149090.1	+	3.60204	1.68029	5.95975
Chst15	+	2.32893	1.67733	3.75995
Casc1	+	1.57985	1.67699	2.62916
Pram1	+	1.69014	1.67597	2.78938
Col9a3	+	1.52828	1.67157	2.55336
Ybx2	+	1.72786	1.66934	2.84273
D030051J21Rik	+	3.5879	1.66758	5.91755
Hrh1	+	1.23519	1.6653	2.13314
Gm17747	+	1.75981	1.66313	2.88777
Yjefn3	+	1.70148	1.66098	2.80174
BC030343	+	1.63356	1.65904	2.70241
Ccdc57	+	1.74415	1.65792	2.86323
F8	+	1.91604	1.65616	3.11674
Uros	+	2.45844	1.65588	3.95473
Abtb1	+	2.88	1.65346	4.64794
Orai2	+	3.15417	1.64975	5.1171
Col20a1	+	1.68404	1.64778	2.7726
Gab3	+	2.49531	1.64729	4.00886
Bloc1s6os	+	1.23882	1.6451	2.13493
Chrnb1	+	2.5497	1.64135	4.09286
Scd3	NA	0.767802	1.63976	1.45704
Tmem14a	+	2.05297	1.6395	3.31602
Pdcd4	+	2.61551	1.62944	4.1918
Bckdha	+	2.43122	1.62908	3.89606
4930573C15Rik	+	2.59187	1.62832	4.15274
Abca2	+	4.92604	1.62829	8.38554
Rpl3l	+	1.33885	1.62762	2.27352
Itga4	+	3.50158	1.62619	5.70859
Lbx2	+	1.9155	1.62567	3.10499
Tbx19	+	1.51144	1.62532	2.51827
Gm15956	+	2.21495	1.62447	3.55623
Cpne2	+	4.98341	1.62367	8.48184
Gata1	+	3.65178	1.62354	5.97719
Hist1h2bc	+	1.4053	1.62322	2.3668
Dnase1l1	+	1.3928	1.62304	2.34903
Phldb3	+	1.7056	1.62036	2.79591
Slc27a1	+	1.12713	1.61883	1.97258
Ccdc88c	+	2.5498	1.61846	4.07865
AC166344.1	+	1.15745	1.61842	2.01541
Fam120c	+	1.79977	1.61724	2.93184
Akap8l	+	3.04485	1.61649	4.89684
Six1	+	3.4326	1.61598	5.57275
Cpne5	+	2.78921	1.61298	4.46454
Slc9a3r2	+	3.30479	1.61204	5.34235
Runx1	+	4.94943	1.61184	8.38565
Stx2	+	2.91917	1.61064	4.679
Morn2	+	2.87336	1.60945	4.6014
Six4	+	2.08224	1.60942	3.34752
Itpr2	+	3.30553	1.6085	5.33976
Dmrta2	+	1.59526	1.6082	2.63368
Pygl	+	1.75069	1.60778	2.85738
Tspo2	+	1.20007	1.60663	2.0737
Tert	+	1.54214	1.60616	2.55731
Gm15834	+	1.48806	1.60572	2.4803
Zcwpw1	+	2.81294	1.60356	4.49643
Flcn	+	2.06734	1.60171	3.32181
Ankrd12	+	3.70127	1.60132	6.03625
Ifih1	+	1.13108	1.6008	1.97545
Dgkg	+	3.50953	1.6003	5.69051
ENSMUSG00000042808	+	1.47736	1.5989	2.4635
Ganc	+	2.46704	1.59676	3.9336
4933406I18Rik	+	1.88455	1.59326	3.04753
Nt5c2	+	3.71518	1.59153	6.04737
Gpx1	+	4.47775	1.59139	7.45151
Gpr55	+	1.77203	1.5859	2.88122
Nme7	+	1.80425	1.58583	2.92786
Irf7	+	2.62933	1.5847	4.18371
LOC100041057	+	1.21163	1.58434	2.08618
Gm43062	NA	0.941871	1.58308	1.70472
Wnk4	+	2.38079	1.5817	3.78986
Kifc2	+	1.26496	1.57726	2.15975
Serpinb9	+	1.59862	1.57506	2.62941
Fbxo40	+	2.31772	1.57487	3.68868
Mir142hg	+	2.83681	1.57396	4.5119
Slmapos2	+	1.63553	1.57395	2.68162
Tubb4a	+	1.88499	1.57229	3.04042
Klhl21	+	3.41373	1.56963	5.48369
Lsp1	+	1.4991	1.56738	2.48651
Gm44037	NA	1.07837	1.56691	1.8961
Tcf7l1	+	2.9775	1.5641	4.73541
Crtc1	+	2.60392	1.56109	4.12672
Cdc14b	+	1.93326	1.55938	3.10589
Xaf1	+	1.90844	1.55916	3.0696
Dpf3	+	2.27674	1.55888	3.61737
Gm47469	+	1.86656	1.55787	3.00826
1700001J03Rik	+	1.76649	1.55694	2.86356
Zfp456	NA	0.858244	1.55631	1.58176
Gm29417	NA	1.01471	1.55618	1.80483
Rab13	+	1.99039	1.55591	3.18815
Pla2g2e	+	1.80118	1.55466	2.91263
9130008F23Rik	+	1.69629	1.55256	2.76172
Cdiptos	+	1.70673	1.55097	2.77611
Zfp78	+	3.02532	1.54441	4.7962
Sla	+	2.06437	1.54254	3.29121
Gm48529	+	1.89188	1.54041	3.03827
Abcb10	+	1.80547	1.5398	2.91354
Gm36266	+	1.8337	1.53948	2.95397
Ogt	+	5.86398	1.53603	9.7561
1700001L05Rik	+	1.60293	1.53433	2.62388
Zfp951	+	1.93165	1.5317	3.09243
Sulf2	NA	1.03876	1.53088	1.83518
Tango2	+	3.92036	1.52925	6.31639
Gm17399	+	2.67272	1.52751	4.21112
Gm26810	NA	0.974455	1.52737	1.74416
Mmaa	+	1.20256	1.52563	2.06304
Prr15	+	1.78061	1.52533	2.87281
Chd3os	+	1.50689	1.52474	2.48642
Pglyrp1	+	3.77905	1.52262	6.05671
Igfals	+	1.60909	1.5219800000000001	2.62891
Ern1	+	3.72632	1.52001	5.96055
1190001M18Rik	+	1.33355	1.51952	2.24379
Hmha1	+	5.57483	1.51945	9.21009
Impg2	+	1.11778	1.51891	1.94386
Gm16316	NA	0.988309	1.51773	1.76242
Fcgr2b	NA	1.0707	1.51407	1.87742
Lrp4	NA	0.981406	1.51389	1.75218
Rgs11	+	3.03216	1.51343	4.77709
Arl4a	+	3.27526	1.51261	5.1789
Psd	+	2.54118	1.51065	3.99325
Inf2	+	3.84517	1.50972	6.15137
Gli2	+	1.15284	1.5095	1.99106
Gm33619	+	1.09784	1.5084	1.91438
Tcp11l2	+	1.14122	1.50685	1.97446
Fgf3	+	1.99667	1.5067	3.17606
Gm45495	+	1.30935	1.49749	2.20547
Lat2	+	1.4101	1.49622	2.34451
Gadd45a	+	1.85436	1.49453	2.96643
Nfe2	+	4.28052	1.49416	6.88493
Pygm	NA	1.0328	1.49348	1.82138
Spock2	+	2.01183	1.49316	3.19191
Ick	+	1.53575	1.49284	2.51788
Gm43597	+	2.52301	1.49066	3.95129
Gramd1b	+	2.32734	1.49014	3.6546
Gm33370	+	1.10275	1.48991	1.91819
Vsig10	+	2.02435	1.48932	3.20826
Frs2	+	4.08076	1.48867	6.52459
Zfp882	+	2.59649	1.48674	4.06141
Wdr25	+	1.30169	1.48575	2.19234
2010013B24Rik	NA	0.842279	1.48472	1.5512
Sult6b1	NA	0.874931	1.48389	1.59774
Grm1	NA	1.09388	1.4828	1.9047
Amigo3	+	1.32329	1.48186	2.22126
Mtss1	+	4.54976	1.48127	7.32619
Cdk5r1	+	2.45388	1.48118	3.83946
Dapp1	+	6.60519	1.47893	10.6202
Crlf1	+	1.37813	1.47827	2.29598
Gm12216	+	1.38087	1.47814	2.29973
1700020L24Rik	+	1.38483	1.47647	2.30478
Olfr920	NA	1.09541	1.47564	1.90564
Mpo	+	1.21133	1.4744	2.06548
Cdc14a	+	3.13996	1.47202	4.90928
Crebrf	+	2.60204	1.46997	4.05731
Vpreb1	NA	0.877008	1.46762	1.59879
Pigw	NA	0.727274	1.46622	1.38266
Hist1h4i	+	2.17504	1.46355	3.41428
Micall2	+	2.29351	1.4633100000000001	3.58814
Gm10643	NA	0.959258	1.46328	1.71421
Gm26514	+	1.90556	1.46325	3.0264
Hdc	+	1.25196	1.46191	2.11882
Zscan25	NA	1.05478	1.46109	1.84696
H2-Ob	+	1.50791	1.46002	2.46998
Gm46218	NA	1.0427	1.45665	1.82951
Rab37	+	3.39434	1.45638	5.30668
Bbs2	NA	0.816931	1.45589	1.51174
A930003A15Rik	+	1.17727	1.45491	2.01485
Cebpe	+	2.09474	1.45367	3.29257
Gm35189	+	1.28863	1.45241	2.16705
Gnrh1	+	2.42332	1.45119	3.77329
Xkrx	+	1.6805	1.45016	2.70553
Pqlc1	+	3.97999	1.44936	6.2768
Tal1	+	5.46318	1.44904	8.76814
Wbscr27	+	2.10516	1.44812	3.30472
Ccdc38	+	4.1907	1.44718	6.63053
1700030J22Rik	NA	1.09912	1.44673	1.90584
D130040H23Rik	NA	1.05445	1.44532	1.84395
Gm43825	+	3.87227	1.44271	6.08269
Gm49025	+	3.87227	1.44271	6.08269
Papss2	+	3.87227	1.44271	6.08269
4930438A08Rik	+	3.87227	1.44271	6.08269
Prickle3	+	3.87227	1.44271	6.08269
Tnfrsf4	NA	0.847076	1.44107	1.55314
Zfp566	+	1.1852	1.44067	2.02295
Metap1d	NA	1.04408	1.4397	1.82871
Bcas3	+	2.10417	1.43789	3.29795
Smim24	+	1.82535	1.43763	2.90267
Manba	+	1.28858	1.43711	2.16354
Tdrd9	+	1.74895	1.43555	2.79531
Gm42504	+	1.99148	1.4332	3.13474
Erp27	+	1.1992	1.43274	2.04052
Ache	+	1.51427	1.43134	2.47034
Zxdc	+	2.58749	1.42888	4.0034
Hacd4	+	3.82369	1.42653	5.97286
Mkln1os	+	1.52717	1.4222	2.48524
Gm15657	+	2.30477	1.42098	3.57854
Lrrc24	+	3.1771	1.42065	4.90978
Fchsd1	+	2.68729	1.42048	4.14753
Car7	NA	0.811175	1.41851	1.4994
Efcc1	+	1.61586	1.41769	2.6052
Fan1	+	1.53713	1.41719	2.49731
Gm15518	NA	0.893234	1.41597	1.61528
Fam214b	+	2.03209	1.4159	3.18379
Mocs1	+	3.07516	1.41587	4.74293
Cul9	+	1.58121	1.41496	2.55684
Irgq	+	2.16005	1.41272	3.36436
Osgin1	+	1.24122	1.41248	2.09352
Aoah	+	1.90075	1.41198	2.99712
Ak3	+	3.47711	1.41052	5.37814
Gm48684	+	1.8962	1.40987	2.98982
Cracr2b	NA	0.951479	1.40934	1.69575
Gm13154	+	1.43657	1.40877	2.35787
Mocos	+	2.20468	1.40692	3.42504
1700088E04Rik	NA	0.954666	1.4065	1.69976
Slc38a9	+	3.802	1.40614	5.90117
Xpc	+	5.05705	1.40402	7.95974
B230208H11Rik	NA	0.733712	1.40327	1.38621
Naip5	+	2.24377	1.40281	3.47877
Zfr2	+	2.2522	1.40052	3.48951
Asic4	NA	0.99249	1.39999	1.75115
Arvcf	+	1.4691	1.3992	2.39927
Sema3g	+	1.60507	1.39851	2.58393
Gm26610	+	1.77205	1.39763	2.81242
2900045O20Rik	NA	0.829135	1.39736	1.52252
Ank1	+	3.0407	1.3973	4.66824
Gdpd3	NA	0.900436	1.39693	1.62285
Gm43254	+	1.18378	1.39305	2.01137
Fmo5	+	1.74217	1.39264	2.76933
Crip2	+	1.59858	1.39194	2.57285
Gm2885	+	1.5636	1.38872	2.52422
Per3	+	1.92452	1.38794	3.01916
2810405F17Rik	NA	0.832731	1.38773	1.52646
Eef2k	+	4.47867	1.38331	6.96271
Arfgap3	+	2.61834	1.38233	4.0117
Lrrc75b	NA	0.589052	1.38202	1.16921
6330562C20Rik	+	2.21979	1.37964	3.43014
Zfp831	+	1.66236	1.37813	2.65471
Ell2	+	3.52358	1.3772	5.40294
Irak4	+	3.66685	1.37495	5.62831
Chst12	+	1.66365	1.37213	2.65422
Lpin2	+	3.30854	1.372	5.0554500000000004
Tldc1	+	2.00737	1.37142	3.12626
Syne1	+	2.16159	1.37053	3.34205
Dok3	+	3.49688	1.36992	5.34935
Man2c1os	NA	0.955152	1.36883	1.6948
Bach1	+	2.14137	1.36647	3.31114
Sla2	+	4.6291	1.36567	7.15881
Rarg	+	1.92547	1.36535	3.00964
Zkscan4	NA	0.952	1.36429	1.68976
Rnf43	+	1.15312	1.36393	1.9638
F930017D23Rik	NA	1.08968	1.36249	1.87764
Aloxe3	+	2.35171	1.36131	3.6066
Fam60a	+	1.45047	1.36102	2.36276
Lpar2	+	2.55197	1.36079	3.89605
Tmem42	+	3.20861	1.36047	4.88456
4930513N10Rik	NA	0.93122	1.35775	1.66008
Polg2	+	1.14666	1.35739	1.95372
Foxa3	+	1.52364	1.35715	2.45985
A430105J06Rik	+	2.44666	1.35655	3.73972
AC087898.2	+	2.48848	1.35636	3.80008
Prkch	+	2.48848	1.35636	3.80008
Tagap	NA	0.868971	1.35566	1.57331
Specc1	+	1.59498	1.3546	2.55495
Ramp1	+	3.83875	1.35388	5.86558
Msrb2	+	1.51403	1.35351	2.44574
Tap1	+	2.76299	1.35251	4.19962
Gm31452	+	1.20417	1.35232	2.03007
B930094E09Rik	+	1.20417	1.35232	2.03007
BC147527	+	1.20417	1.35232	2.03007
Mitf	+	2.25137	1.34895	3.4554
Tmc6	+	2.53412	1.34693	3.8587
Bdh2	+	1.34173	1.34582	2.21275
2310001H17Rik	+	3.59537	1.3455	5.46595
Slc27a5	NA	1.0148	1.34494	1.77267
Hip1r	+	1.77912	1.34475	2.79992
Gm20658	+	2.74274	1.34371	4.16116
Ap3d1	+	3.18581	1.34344	4.82749
Syngap1	+	1.81188	1.3428	2.84355
Pde1b	+	1.46812	1.34258	2.38074
R3hdm4	+	2.56748	1.3405	3.90173
Gypc	+	2.14232	1.33918	3.2962
Gm10785	NA	1.05601	1.33854	1.82749
Art5	NA	0.749389	1.33849	1.40214
Gm15987	+	2.22867	1.33802	3.41627
Gm42517	NA	0.826747	1.33781	1.51182
Vmn1r185	NA	1.01786	1.33768	1.77556
Gm10248	NA	0.822178	1.3369	1.50528
Bco1	NA	0.76322	1.33653	1.42171
Zbtb39	+	1.30001	1.33518	2.15421
Rtn4r	NA	0.84812	1.33359	1.54122
Creg1	+	4.04849	1.33284	6.15571
Rep15	NA	0.93662	1.33254	1.66367
Hivep2	+	1.89983	1.33182	2.95806
Slc23a3	NA	0.970938	1.33073	1.71041
Fam89b	NA	0.928858	1.32907	1.65246
1700102P08Rik	NA	1.05281	1.32722	1.82104
Sema6c	NA	0.997777	1.32583	1.74617
Bbs4	+	1.71653	1.32502	2.70703
Glyctk	+	1.80645	1.32274	2.82712
Sipa1l1	+	3.12126	1.32169	4.70168
Tmem147os	+	1.59329	1.32161	2.54073
Uvssa	+	2.96786	1.31992	4.46992
Samd11	+	1.90724	1.31811	2.96129
Tle2	+	1.86487	1.31786	2.90377
Usp54	+	1.27802	1.31652	2.12009
Fam129c	NA	0.886715	1.31431	1.59215
Prkcq	+	6.81709	1.31355	9.98018
Gm9493	+	6.81709	1.31355	9.98018
Tyk2	+	1.487	1.31317	2.39638
Gm44696	+	1.22026	1.31311	2.04242
Plac8	NA	0.672338	1.31204	1.28785
Gm37305	+	1.26817	1.31096	2.10556
Gtf2ird2	+	4.7763	1.30999	7.227
Gm5741	NA	0.684067	1.30984	1.30477
Rnf125	+	2.14362	1.30939	3.27964
Abcb9	+	1.60592	1.30936	2.55296
Myo1a	+	1.39063	1.30919	2.26739
Gm10762	NA	0.636374	1.30903	1.23459
Slc12a9	+	2.11169	1.30812	3.2349
Cnppd1	+	4.02953	1.30691	6.07048
4933436E23Rik	+	1.21705	1.30575	2.03637
Ddb1	+	3.95659	1.30537	5.95448
2900093K20Rik	+	2.4487	1.3052	3.70248
Ppcdc	+	2.47664	1.30499	3.74184
Fosb	NA	1.05755	1.30439	1.82306
Gm27048	+	1.28759	1.30326	2.12929
Plgrkt	+	2.52878	1.30285	3.81407
Klf10	+	3.5356	1.3023	5.30204
Fam78a	+	1.91532	1.30215	2.96407
Paqr8	+	3.25607	1.30145	4.8775
1700124L16Rik	+	1.60763	1.30032	2.55178
Renbp	+	2.88812	1.29965	4.32941
AC163032.1	+	1.30768	1.29892	2.15469
Hbq1b	+	1.20448	1.29785	2.01777
Fam209	+	1.20448	1.29785	2.01777
Ankrd22	+	1.20448	1.29785	2.01777
Pou2f2	+	1.19123	1.29742	2.00007
Acvr2b	+	1.75538	1.29516	2.74611
Gm43625	+	1.84392	1.29179	2.86283
Fam227a	+	1.2096	1.29022	2.02269
Tbcd	+	2.30038	1.28994	3.48317
Acsl1	+	2.02906	1.2893	3.1109
Ankrd16	+	3.15502	1.28913	4.7098
Nacc2	+	2.28386	1.28883	3.45949
Usp11	+	3.21711	1.28875	4.80152
Stab1	+	2.39077	1.28771	3.60721
Haao	NA	1.00059	1.28756	1.74316
Rbbp9	NA	0.890709	1.28692	1.59355
Dcaf6	+	2.52344	1.28465	3.79078
Ntn4	+	1.92881	1.28418	2.97277
Adamtsl5	NA	0.702803	1.28393	1.32925
Atl1	NA	0.819255	1.28387	1.49424
Lgals7	NA	0.697517	1.2804	1.32125
Fam126a	+	2.7274	1.28034	4.07638
Neat1	+	1.54432	1.27994	2.46045
